Id,Title,Synopsis,Overview,ResourceID,Adding Resources
141,乐学华文 - 万里香 - Singapore Flavours,"《万里香》将由三个主持人分别到多个不同国家寻找“移居”当地的新加坡美食。海南鸡饭、辣椒螃蟹、叻沙，椰浆饭等国人熟悉的著名美食，到了国外肯定会受到各地取材的限制、厨师的烹调手法、或者当地人口味的影响，而有或多或少的改变。节目每一集将以一道美食为主题，看看它在不同国家到底变成了什么样。《万里香》寻访的目的地方包括东京、北京、上海、三藩市、孟买、加尔各答、阿德莱德、伦敦和曼谷。除了到当地的餐馆品尝本地美食，主持人也去了超级市场看看那里是否售卖本地美食所需的材料，甚至还到居民家中的厨房，看他们如何准备我们喜爱的新加坡美食。<br/>Singapore Flavours follows its three hosts to different countries in search of familar dishes such as Hainanese chicken rice, chilli crab, laksa and nasi lemak that have made their way overseas and been translated to suit the local tastes, availability of ingredients, and skill of the chef. Each episode focuses on one particular dish, and showcases the different versions found throughout several international locations, including Tokyo, Beijing, Shanghai, San Francisco, Mumbai, Jakarta, Adelaide, London and Bangkok.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P3T1Ex01,
142,乐学华文 - 心晴大动员 - 第一集 - Life Transformers - Ep 1,"繁忙的都市生活将新加坡人压得透不过气，长期下来，大家行同陌路各人自扫门前雪，莫管他家瓦上霜。此节目就是要唤起国人深埋于底的爱心让大家知道其实在繁华的大都市里，住着一群被忽略的国人。他们收入低、受的育不多、住宿的条件差，是急需帮助的一群。主持人将带领10位爱心勇士上主角的家，进行住屋大扫除，粉刷房屋，修补家俱。主持人也会带领这10位勇士进行实际爱心营救。例如：代为寻找工作或如果主角有特别的愿望，将尽力帮助实现。此节目将能成为这群贫苦人的人生转捩点。<br/>Life Transformers turns the spotlight onto a neglected group of people living in the shadows of the bustling city that is Singapore. 10 volunteers, led by the hosts of the show, help to give each home a overhaul by cleaning up, painting and doing repairs around the house. These volunteers also bring new hope to the households  as they endeavour to help each of them fulfill a much-needed or cherished wish, such as finding a job.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P3T1Ex02,
143,乐学华文 - 无忧无郁 - 第四集  - Step Out of Depression - Ep 4,"主持人郭亮将带领观众一起深入探讨为什么在新加坡人口老龄化的同时，越来越多的人患上了年长忧郁症，忧郁症的主要病因和症状、如何及早发觉以及如何治疗等课题。每一期的节目将以不同的故事呈现，并为观众们一一解答有关忧郁症的各种问题。<br/>Host Guo Liang investigates several burning questions about depression, such as: the link between Singapore's aging population and the increasing number of cases of depression in the elderly, the causes and symptoms of depression, and treatment options available. Each episode presents a different story, allowing the audience to have a deeper understanding of the issues associated with depression.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P3T1Ex03,
144,乐学华文 - 书包太重 - 第三集 - My School Daze - Ep 3,"传统华校出身的资深老师谭向春怀才不遇，黯然离开母语教师的岗位，加入太太康巧珍的邻里补习中心。与向春弟弟向风交往的麻辣老师张洛芸，善用花招来获取学生欢心。原本想在教育界平步青云的她，却在伤害了师生关系和升迁无望的情况下离职。加入巧珍的补习中心后，洛芸鼓吹精英教育，向春却坚持有教无类，结果洛芸拉着向风另起炉灶，成立只限精英的高档补习中心。另一边厢，怕输的唐安迪夫妇发现孩子德华念书普通，厨艺天赋却很惊人，他俩终于接受孩子不是读书的料，不排除将来让他往饮食业发展。自认是完美母亲的巧珍惊觉对孩子的管教出了偏差。才女型的女儿无法接受输给中国插班生，暴露了素养的缺乏。儿子则为羽毛球撒谎逃课。夫妻俩几经思量和协调，教导孩子正确的价值观，也肯定了儿子在运动方面的潜能，考虑让他进体育学校。洛芸得知以往的学生患上忧郁症后，全心帮助学生振作起来。这使洛芸认同了向春有教无类的观念，并重返学校，踏实执教。<br/>This drama serial follows the lives of several characters involved in the education sector in Singapore, including ex-teacher Tan Xiangchun, his wife Kang Qiaozhen, who owns a tuition centre, and their children: star pupil Tan Yixin and badminton ace Tan Yijie; and Xiangchun's free-spirited younger brother Tan Xiangfeng and sassy. ambitious Zhang Luoyun, who also eventually leaves teaching and first joins Qiaozhen's tuition centre before starting her own premium tuition centre that accepts only outstanding students. Also featured are Tang Andi and Tao Guijuan,  the stingy, over-anxious parents of Dehua, who is an average student, but has a talent for cooking.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P3T1Ex04,
145,乐学华文 - 成语万花筒 - 第十二集 - Proverb Kaleidoscope - Ep 12,"《成语万花筒》节目是一个鼓励大家多学成语，多用成语的比赛节目。节目中一共邀请了本地12所小学的学生来参与比赛，而每所学校将派出4名同学参加比赛。他们将在两位老师的带领之下，面对三个回合的挑战。<br/>Proverb Kaleidoscope is a competition that encourages the learning and use of proverbs in daily life. Each of twelve schools sends four representatives, under the guidance of two teachers, to participate in three challenge rounds.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P3T1Ex05,
146,乐学华文 - 明星志工队 - 第一集 - Stars for a Cause - Ep 1,《明星志工队》节目中，率领了一群来自海内外的艺人朋友们把爱心传播到世界的不同角落。节目中可以看到明星志工们如何放下身段，身体力行，为爱付出，和他们一起欢笑，一起感动，一起成长。<br/>Stars for a Cause sees a group of international celebrities volunteering their time and efforts to bring love and care to different parts of the world.,"《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P3T1Ex06,
147,乐学华文 - 游学列车 - 第七集 - Super Train - Ep 7,"《游学列车》是由两位年轻的艺人李腾和Pornsok主持。他们将带领小朋友展开一段历史与人文之旅。每集的节目将会有两组的小朋友接受挑战，他们会到全岛各大地铁站寻找提示以完成任务，而在最段时间内完成任务的一组将会是赢家。 <br/>Hosts Lee Teng and Pornsak take children on a journey through history. Each week, two groups of children race against each other in challenges that see them visiting train stations all over Singapore to complete given tasks.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P3T1Ex07,
148,乐学华文 - 小厨当家 - 第二集 - Teen's Cook Book - Ep 2,"《小厨当家》是本地的一部儿童剧。剧中的女主角Angel是一个在讲英语的家庭环境底下长大的小女孩。她说的华语总是参杂着一些英语，经常让外婆以及身边的朋友听不懂她在讲什么。<br/>Angel comes from an English-speaking household; thus, her spoken Mandarin is always peppered with English words and phrases, causing her grandmother and some of her friends to constantly misunderstand her.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P3T2Ex01,
149,乐学华文 - 成语万花筒 - 第一集 - Proverb Kaleidoscope - Ep 1,"《成语万花筒》节目是一个鼓励大家多学成语，多用成语的比赛节目。节目中一共邀请了本地12所小学的学生来参与比赛，而每所学校将派出4名同学参加比赛。他们将在两位老师的带领之下，面对三个回合的挑战。 <br/>Proverb Kaleidoscope is a competition that encourages the learning and use of proverbs in daily life. Each of twelve schools sends four representatives, under the guidance of two teachers, to participate in three challenge rounds.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P3T2Ex02,
150,乐学华文 - 绿设兵团 - 第一集 - Go Green - Ep 1,《绿设兵团》是一个教导人怎么样爱护环境、保护环境的节目。节目中的主持人将分成三组，每周会有1个主题作为比赛的题目。主持人必须根据主题，将没有用的物品再循环使用。通过此节目亦可提高公众的环保意识，灌输他们环保的重要性。 <br/>Go Green aims to educate people about the importance of protecting the environment. Three teams must reuse and recycle discarded items according to the given theme in a weekly challenge.,"《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P3T2Ex03,
151,乐学华文 - 走在阳光里 - 第十集 - Walking in the Sunshine - Ep 10,这是一部本地儿童剧。故事中描述几位同年龄的小朋友如何发展一段真挚的友谊，其中充满了欢笑和泪水。此外，剧中也安排了一些突发状况，让观众们看看这群小朋友如何面对问题、解决问题。 <br/>This children's programme depicts a group of children and how they develop deep friendships with each other. The children face  unexpected situations and overcome their problems together.,"《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P3T2Ex04,
152,乐学华文 - 放心出去看 - 第三集 - Gracious Planet - Ep 3,"主持人李国煌将带领观众到不同国家，看看当地的人文素养。通过比较其他国家的人文素质和生活习惯，看看地球的另一端，也能有如此优雅、文明的社会和人民。在节目里，主持人将与一名外国朋友，随着当地家庭一起生活为引，通过他们的生活，遇到的人和事，感受当地人的文化素养。间中两位主持人会有感而发，比较自己生长的国家环境和当地的生活方式有什么差异。 <br/>Host Mark Lee travels to various countries to take a closer look at their local cultures and lifestyles, and experience the hospitality of each society and its residents. In each episode, Mark and another friend stay with a host family and come to understand the culture of their host country more deeply through their daily encounters and also comparing them with their own lifestyles back home.","《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P3T2Ex05,
153,乐学华文 - 绿设兵团 - 第四集 - Go Green - Ep 4,《绿设兵团》是一个教导人怎么样爱护环境、保护环境的节目。节目中的主持人将分成三组，每周会有1个主题作为比赛的题目。主持人必须根据主题，将没有用的物品再循环使用。通过此节目亦可提高公众的环保意识，灌输他们环保的重要性。 <br/>Go Green aims to educate people about the importance of protecting the environment. Three teams must reuse and recycle discarded items according to the given theme in a weekly challenge.,"《乐学华文》是采用新传媒影片进行华文趣味教学的华语教学资源。它以摘取短片内容来设计活动为主，包揽家庭、社会、环保、运动等多项主题。孩子能通过一系列生动、有趣的活动来激发他们对学习华文的兴趣，并有效提高他们听、说、读、写的能力。<br/>《乐学华文》comprises engaging Chinese-language activities, designed using MediaCorp video content as the main stimulus. The resources cover a wide variety of themes, such as family, society, environmental protection, and sports. These vivid and interesting activities will inspire children’s interest in learning Chinese, while effectively improving their listening, speaking, reading, and writing skills.",LuV_CL_P3T2Ex06,
